geno;pheno;nSamples;nCases;nControls;p;beta;lower;upper;se;MedCases;MedControls;Panel
SF3B1_mis_VAF20;ADAM8:P78325:OID21039:v1:Neurology;35795;4;35791;3,62E-06;2,210981173;1,275528172;3,146434174;0,477264487;2,016185931;0,004369825;Neurology
CH_mis_VAF20;CLEC4D:Q8WXI8:OID20609:v1:Inflammation;35445;126;35319;3,67E-06;0,385407758;0,222255802;0,548559715;0,083239467;0,423382025;0,047116727;Inflammation
TET2_VE;KIR2DL3:P43628:OID21196:v1:Oncology;34690;270;34420;3,76E-06;-0,276583663;-0,393798864;-0,159368461;0,059802676;-0,194303576;0,021332564;Oncology
JAK2_mis_VAF10;EIF4EBP1:Q13541:OID20162:v1:Cardiometabolic;35528;14;35514;3,87E-06;1,185073097;0,682191021;1,687955173;0,256568417;1,475608108;0,001785341;Cardiometabolic
CH_mis_VAF10;CD300C:Q08708:OID21010:v1:Neurology;35866;331;35535;3,87E-06;0,236463178;0,136120045;0,336806312;0,05119468;0,311197314;0,03398939;Neurology
CH_VE_mis_VAF10;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;768;34691;4,03E-06;0,155618758;0,089460355;0,221777162;0,03375375;0,191611088;-0,015258101;Cardiometabolic
TET2_VE_VAF10;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;143;35255;4,14E-06;-0,37734568;-0,537964193;-0,216727166;0,081946911;-0,420764849;0,002244535;Cardiometabolic
JAK2_mis;KAZALD1:Q96I82:OID21339:v1:Oncology;35344;14;35330;4,22E-06;1,201168417;0,689458815;1,712878019;0,261072139;1,099829918;0,010080853;Oncology
JAK2_mis_VAF05;KAZALD1:Q96I82:OID21339:v1:Oncology;35344;14;35330;4,22E-06;1,201168417;0,689458815;1,712878019;0,261072139;1,099829918;0,010080853;Oncology
TET2_VE_mis_VAF20;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;69;35813;4,32E-06;0,514665005;0,295172718;0,734157293;0,111984122;0,445315715;0,010672177;Cardiometabolic
TET2_VE_mis_VAF10;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;199;35683;4,74E-06;0,302633803;0,173027636;0,432239969;0,066124568;0,337383086;0,009541314;Cardiometabolic
CH_VE_mis_VAF10;SIRPB1:O00241:OID20739:v1:Inflammation;35396;763;34633;4,80E-06;0,161369714;0,092221684;0,230517744;0,035279043;0,268657415;0,019138393;Inflammation
CH_VE_VAF05;APP:P05067:OID21070:v1:Neurology;35585;875;34710;4,85E-06;-0,155485315;-0,222143502;-0,088827128;0,034008741;-0,116660464;0,00802496;Neurology
SF3B1_mis;FUT8:Q9BYC5:OID20992:v1:Neurology;35323;21;35302;4,98E-06;-1,012985593;-1,447780426;-0,57819076;0,221830534;-0,86605741;-0,016565737;Neurology
SF3B1_mis;CCL26:Q9Y258:OID20546:v1:Inflammation;35445;21;35424;5,19E-06;-0,99602756;-1,424358295;-0,567696824;0,218532604;-0,707384705;-0,008864042;Inflammation
TET2_VE_mis_VAF10;KIR3DL1:P43629:OID21185:v1:Oncology;34690;196;34494;5,19E-06;-0,323622451;-0,46279896;-0,184445942;0,071007238;-0,341805351;-0,010653486;Oncology
CH_VE_VAF05;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;871;34574;5,24E-06;0,154506966;0,088031116;0,220982816;0,033915709;0,115571307;-0,000477197;Inflammation
TET2_VE_VAF20;S100A12:P80511:OID21374:v1:Oncology;35038;58;34980;5,25E-06;-0,578403753;-0,827281397;-0,329526109;0,126976314;-0,422807871;0,005436694;Oncology
CH_VE_mis_VAF10;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;773;35109;5,27E-06;0,154930063;0,088256629;0,221603498;0,03401653;0,266700075;-0,001413507;Cardiometabolic
TET2_mis_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;14;35866;5,29E-06;-1,148552262;-1,642920424;-0,6541841;0,252224737;-1,198963936;0,012582004;Inflammation
GNB1_mis_VAF20;MMP8:P22894:OID21019:v1:Neurology;35795;12;35783;5,33E-06;1,276754306;0,726997766;1,826510845;0,280483651;1,618218023;0,003873788;Neurology
TET2_VE_mis_VAF10;S100P:P25815:OID20103:v1:Cardiometabolic;34840;189;34651;5,35E-06;-0,31760787;-0,454381471;-0,18083427;0,069781295;-0,203979319;0,020753404;Cardiometabolic
IDH2_mis_VAF05;CD300E:Q496F6:OID21418:v1:Oncology;35682;5;35677;5,45E-06;1,818062926;1,034464861;2,601660991;0,399788647;2,085683192;0,001066404;Oncology
IDH2_mis_VAF10;CD300E:Q496F6:OID21418:v1:Oncology;35682;5;35677;5,45E-06;1,818062926;1,034464861;2,601660991;0,399788647;2,085683192;0,001066404;Oncology
CH_VE_mis_VAF05;ANGPT1:Q15389:OID20740:v1:Inflammation;35219;1428;33791;5,54E-06;-0,122836757;-0,175824484;-0,06984903;0,027034118;-0,090010379;0,009167814;Inflammation
GNB1_mis;TCL1A:P56279:OID20987:v1:Neurology;35265;17;35248;5,61E-06;-1,051354367;-1,505130577;-0,597578156;0,231514741;-0,835098342;-0,039354491;Neurology
GNB1_mis_VAF05;TCL1A:P56279:OID20987:v1:Neurology;35265;17;35248;5,61E-06;-1,051354367;-1,505130577;-0,597578156;0,231514741;-0,835098342;-0,039354491;Neurology
GNB1_mis_VAF10;TCL1A:P56279:OID20987:v1:Neurology;35265;17;35248;5,61E-06;-1,051354367;-1,505130577;-0,597578156;0,231514741;-0,835098342;-0,039354491;Neurology
IDH2_mis;CLEC6A:Q6EIG7:OID21228:v1:Oncology;34690;6;34684;5,76E-06;1,737187463;0,986476632;2,487898293;0,383009336;1,669973892;0,037526894;Oncology
CH_VE_VAF05;DDAH1:O94760:OID21299:v1:Oncology;35344;871;34473;5,80E-06;0,150084871;0,085207149;0,214962593;0,033100347;0,206642676;0,005818574;Oncology
SF3B1_mis_VAF05;CD40LG:P29965:OID20616:v1:Inflammation;35880;20;35860;6,01E-06;-1,038353405;-1,487937249;-0,58876956;0,22937595;-0,826355444;0,000471665;Inflammation
TET2_VE_mis_VAF05;COL1A1:P02452:OID20335:v1:Cardiometabolic;35953;361;35592;6,07E-06;-0,236607296;-0,339104747;-0,134109845;0,052293809;-0,275829627;0,001270127;Cardiometabolic
TET2_mis_VAF10;CD1C:P29017:OID21483:v1:Oncology;35644;60;35584;6,15E-06;0,554852426;0,314338586;0,795366266;0,122709209;0,372414228;-0,015119717;Oncology
DNMT3A_VE_mis_VAF10;CCL24:O00175:OID20772:v1:Inflammation;35596;436;35160;6,24E-06;-0,214282425;-0,307225858;-0,121338991;0,04741937;-0,094386735;0,044130018;Inflammation
CH_VE_mis_VAF20;VSIG4:Q9Y279:OID21144:v1:Neurology;35585;282;35303;6,25E-06;0,238126507;0,134831624;0,341421389;0,052700637;0,456534806;0,020097346;Neurology
CH_mis_VAF10;CLEC4D:Q8WXI8:OID20609:v1:Inflammation;35445;329;35116;6,35E-06;0,233511582;0,132143564;0,334879601;0,051717552;0,302363044;0,046280722;Inflammation
JAK2_mis_VAF10;RNASET2:O00584:OID20321:v1:Cardiometabolic;35829;14;35815;6,42E-06;1,129966923;0,639175068;1,620758779;0,250400107;1,030839394;0,015903629;Cardiometabolic
GNB1_mis;EPO:P01588:OID20522:v1:Inflammation;35445;17;35428;6,53E-06;-1,064784808;-1,527614608;-0,601955008;0,236133887;-0,998252544;-0,022418186;Inflammation
GNB1_mis_VAF05;EPO:P01588:OID20522:v1:Inflammation;35445;17;35428;6,53E-06;-1,064784808;-1,527614608;-0,601955008;0,236133887;-0,998252544;-0,022418186;Inflammation
GNB1_mis_VAF10;EPO:P01588:OID20522:v1:Inflammation;35445;17;35428;6,53E-06;-1,064784808;-1,527614608;-0,601955008;0,236133887;-0,998252544;-0,022418186;Inflammation
TET2_VE;DEFA1_DEFA1B:P59665:OID20344:v1:Cardiometabolic;34834;266;34568;6,57E-06;-0,266910581;-0,382961223;-0,150859939;0,059208531;-0,117812185;0,032381997;Cardiometabolic
SF3B1_mis_VAF05;PAPPA:Q13219:OID20421:v1:Inflammation;34873;20;34853;6,61E-06;0,963371833;0,544372509;1,382371157;0,213771636;1,70602156;0,018721693;Inflammation
CH_VE_mis_VAF10;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;774;35106;6,66E-06;0,161309138;0,091126701;0,231491575;0,03580681;0,116089691;0,002759246;Inflammation
JAK2_mis;EIF4EBP1:Q13541:OID20162:v1:Cardiometabolic;35528;16;35512;6,85E-06;1,079739676;0,609322782;1,55015657;0,240004811;1,110457266;0,001785341;Cardiometabolic
JAK2_mis_VAF05;EIF4EBP1:Q13541:OID20162:v1:Cardiometabolic;35528;16;35512;6,85E-06;1,079739676;0,609322782;1,55015657;0,240004811;1,110457266;0,001785341;Cardiometabolic
CH_VE_mis_VAF10;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;768;34760;6,90E-06;-0,158745941;-0,22792716;-0,089564721;0,03529598;-0,006496748;0,003742866;Cardiometabolic
CH_VE_VAF20;SIGLEC6:O43699:OID21394:v1:Oncology;35820;164;35656;6,93E-06;0,344981387;0,194606542;0,495356232;0,076720664;0,334187733;0,000236242;Oncology
SF3B1_mis_VAF05;FUT8:Q9BYC5:OID20992:v1:Neurology;35323;20;35303;6,96E-06;-1,023205067;-1,469307349;-0,577102785;0,227599547;-0,947561319;-0,016625633;Neurology
GNB1_mis_VAF20;CLEC4D:Q8WXI8:OID20609:v1:Inflammation;35445;12;35433;7,14E-06;1,204398341;0,678641686;1,730154996;0,268238913;1,696839035;0,047809442;Inflammation
SRSF2_mis_VAF10;FLT3LG:P49771:OID20661:v1:Inflammation;35880;17;35863;7,27E-06;-1,027110431;-1,475838326;-0,578382536;0,228939248;-0,392894247;0,012499456;Inflammation
SRSF2_mis_VAF20;FLT3LG:P49771:OID20661:v1:Inflammation;35880;14;35866;7,27E-06;-1,131761055;-1,626209439;-0,637312671;0,252265666;-0,588741609;0,012405116;Inflammation
SRSF2_mis_VAF20;APOM:O95445:OID20374:v1:Cardiometabolic;35587;13;35574;7,30E-06;-1,164746144;-1,673728316;-0,655763973;0,259680675;-1,728012875;0,023294636;Cardiometabolic
JAK2_mis;ITGB1BP2:Q9UKP3:OID20112:v1:Cardiometabolic;34840;16;34824;7,37E-06;1,107183196;0,623139354;1,591227038;0,246957059;0,521465662;0,000533344;Cardiometabolic
JAK2_mis_VAF05;ITGB1BP2:Q9UKP3:OID20112:v1:Cardiometabolic;34840;16;34824;7,37E-06;1,107183196;0,623139354;1,591227038;0,246957059;0,521465662;0,000533344;Cardiometabolic
TET2_VE_mis;COL1A1:P02452:OID20335:v1:Cardiometabolic;35953;405;35548;7,39E-06;-0,221362893;-0,318148437;-0,124577349;0,049379616;-0,253418925;0,001270127;Cardiometabolic
PPM1D_VE_VAF05;REN:P00797:OID20201:v1:Cardiometabolic;35528;58;35470;7,40E-06;0,545938777;0,307222519;0,784655035;0,121792077;0,959959746;0,009117265;Cardiometabolic
CH_VE_mis_VAF10;CLEC6A:Q6EIG7:OID21228:v1:Oncology;34690;750;33940;7,44E-06;0,156286685;0,087929464;0,224643907;0,034875551;0,276684866;0,034014182;Oncology
JAK2_mis;RNASET2:O00584:OID20321:v1:Cardiometabolic;35829;16;35813;7,46E-06;1,049576949;0,590474974;1,508678925;0,234232052;0,842454323;0,015903629;Cardiometabolic
JAK2_mis_VAF05;RNASET2:O00584:OID20321:v1:Cardiometabolic;35829;16;35813;7,46E-06;1,049576949;0,590474974;1,508678925;0,234232052;0,842454323;0,015903629;Cardiometabolic
TET2_VE_mis_VAF05;KITLG:P21583:OID20196:v1:Cardiometabolic;35528;355;35173;7,54E-06;-0,230788713;-0,331794039;-0,129783387;0,051532512;-0,20998947;-0,004070588;Cardiometabolic
IDH2_mis_VAF05;LILRB2:Q8N423:OID20301:v1:Cardiometabolic;35757;5;35752;7,73E-06;1,928417289;1,083435419;2,773399159;0,431106452;2,118758448;0,017297988;Cardiometabolic
IDH2_mis_VAF10;LILRB2:Q8N423:OID20301:v1:Cardiometabolic;35757;5;35752;7,73E-06;1,928417289;1,083435419;2,773399159;0,431106452;2,118758448;0,017297988;Cardiometabolic
CH_VE_mis_VAF05;FLT3:P36888:OID21272:v1:Oncology;34690;1425;33265;7,78E-06;0,118548063;0,066588618;0,170507509;0,026509479;0,028575168;-0,01106794;Oncology
TET2_VE_mis;KITLG:P21583:OID20196:v1:Cardiometabolic;35528;397;35131;7,95E-06;-0,21773166;-0,313264159;-0,122199161;0,048740297;-0,186392014;-0,004070588;Cardiometabolic
TET2_VE_mis_VAF20;NCF2:P19878:OID20567:v1:Inflammation;35372;72;35300;7,95E-06;-0,508327055;-0,731362564;-0,285291547;0,113791804;-0,460377824;0,001648997;Inflammation
CH_VE_mis_VAF10;ICAM2:P13598:OID20248:v1:Cardiometabolic;35953;774;35179;7,97E-06;0,162323308;0,09109505;0,233551566;0,036340386;0,092273803;-0,000729147;Cardiometabolic
SRSF2_mis_VAF05;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;19;35440;8,08E-06;0,941369313;0,528001417;1,354737209;0,210898627;0,985890733;-0,011348016;Cardiometabolic
JAK2_mis;EPO:P01588:OID20522:v1:Inflammation;35445;14;35431;8,14E-06;-1,160685974;-1,670520719;-0,650851229;0,26011562;-1,184360763;-0,02259718;Inflammation
JAK2_mis_VAF05;EPO:P01588:OID20522:v1:Inflammation;35445;14;35431;8,14E-06;-1,160685974;-1,670520719;-0,650851229;0,26011562;-1,184360763;-0,02259718;Inflammation
CH_VE_mis;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;1748;33780;8,30E-06;-0,106104549;-0,15275546;-0,059453639;0,023801107;0,025594885;0,003742866;Cardiometabolic
SF3B1_mis;DNER:Q8NFT8:OID20712:v1:Inflammation;35328;21;35307;8,44E-06;-0,91379957;-1,315883014;-0,511716126;0,205141319;-1,023995597;-0,041647029;Inflammation
TET2_VE_VAF10;KIR2DL3:P43628:OID21196:v1:Oncology;34690;143;34547;8,44E-06;-0,36380783;-0,523895971;-0,203719689;0,081676259;-0,226268799;0,020722974;Oncology
CH_VE_mis_VAF10;CD300LF:Q8TDQ1:OID21469:v1:Oncology;35820;773;35047;8,51E-06;0,152059238;0,085122924;0,218995552;0,034150648;0,261345916;0,042441734;Oncology
JAK2_mis;SELP:P16109:OID20379:v1:Cardiometabolic;35661;16;35645;8,68E-06;1,093396861;0,611634042;1,575159681;0,245793488;1,015861496;0,006448181;Cardiometabolic
JAK2_mis_VAF05;SELP:P16109:OID20379:v1:Cardiometabolic;35661;16;35645;8,68E-06;1,093396861;0,611634042;1,575159681;0,245793488;1,015861496;0,006448181;Cardiometabolic
JAK2_mis_VAF10;FKBP4:Q02790:OID20960:v1:Neurology;35323;12;35311;8,74E-06;1,259584236;0,704413569;1,814754904;0,283245789;1,430003249;-0,000407237;Neurology
ASXL1_VE_VAF10;SELPLG:Q14242:OID20560:v1:Inflammation;35445;68;35377;8,98E-06;-0,510509946;-0,735819546;-0,285200346;0,114952044;-0,306610548;0,020091326;Inflammation
SF3B1_mis;CD40LG:P29965:OID20616:v1:Inflammation;35880;21;35859;9,07E-06;-0,992392642;-1,430589761;-0,554195524;0,223566486;-0,782120966;0,000471665;Inflammation
JAK2_mis;MMP1:P03956:OID20672:v1:Inflammation;34067;12;34055;9,39E-06;1,263441409;0,704611956;1,822270862;0,285112125;1,289141722;0,01961818;Inflammation
JAK2_mis_VAF05;MMP1:P03956:OID20672:v1:Inflammation;34067;12;34055;9,39E-06;1,263441409;0,704611956;1,822270862;0,285112125;1,289141722;0,01961818;Inflammation
SRSF2_mis_VAF10;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;17;35863;9,43E-06;1,052041607;0,58662112;1,517462093;0,237455744;0,709878525;0,012617382;Inflammation
ASXL1_VE_VAF10;ITGB2:P05107:OID20315:v1:Cardiometabolic;35237;67;35170;9,44E-06;0,508187618;0,283355621;0,733019614;0,11470835;0,334086156;-0,021565058;Cardiometabolic
CH_mis_VAF20;CD300C:Q08708:OID21010:v1:Neurology;35866;128;35738;9,47E-06;0,363232637;0,20250359;0,523961683;0,082003341;0,401366032;0,034768083;Neurology
TET2_mis;ESM1:Q9NQ30:OID20758:v1:Inflammation;35455;138;35317;9,57E-06;-0,357847478;-0,516268918;-0,199426037;0,080825977;-0,187450232;0,037743713;Inflammation
SRSF2_mis_VAF05;TNFSF13B:Q9Y275:OID20272:v1:Cardiometabolic;35882;20;35862;9,69E-06;0,919768916;0,512331453;1,327206379;0,207873028;1,435684457;0,011897294;Cardiometabolic
SF3B1_mis;SSC5D:A1L4H1:OID20351:v1:Cardiometabolic;35661;21;35640;9,76E-06;-0,913544783;-1,318364876;-0,50872469;0,206537612;-0,698370174;0,00943528;Cardiometabolic
CH_VE_mis_VAF20;CD300C:Q08708:OID21010:v1:Neurology;35866;283;35583;9,80E-06;0,244134863;0,135925512;0,352344215;0,055207994;0,332432596;0,03398939;Neurology
TET2_VE_mis_VAF20;BGN:P21810:OID21198:v1:Oncology;34628;71;34557;9,83E-06;0,502546472;0,279772552;0,725320392;0,113658259;0,423413953;-0,023394238;Oncology
CH_VE_mis_VAF10;AXL:P30530:OID20363:v1:Cardiometabolic;35661;771;34890;9,87E-06;0,156225995;0,086957153;0,225494836;0,035340689;0,170176226;-0,002560292;Cardiometabolic
TET2_VE_VAF20;CA1:P00915:OID20409:v1:Cardiometabolic;34671;53;34618;9,97E-06;-0,581507898;-0,839468994;-0,323546802;0,131610604;-0,613730564;-0,008925573;Cardiometabolic
SRSF2_mis_VAF20;BST1:Q10588:OID21051:v1:Neurology;35866;14;35852;1,01E-05;1,16913617;0,650281881;1,687990458;0,26471746;1,354992911;0,009338933;Neurology
TET2_VE_mis_VAF10;KITLG:P21583:OID20196:v1:Cardiometabolic;35528;197;35331;1,01E-05;-0,303553733;-0,438314045;-0,16879342;0,06875417;-0,252141769;-0,012545322;Cardiometabolic
CH_mis_VAF10;CLEC6A:Q6EIG7:OID21228:v1:Oncology;34690;318;34372;1,02E-05;0,234560517;0,130384851;0,338736183;0,053149963;0,31629984;0,035258217;Oncology
CH_VE_mis_VAF20;DDAH1:O94760:OID21299:v1:Oncology;35344;277;35067;1,03E-05;0,255664256;0,142077694;0,369250819;0,057951398;0,381952837;0,014894101;Oncology
TET2_VE;PRSS27:Q9BQR3:OID20212:v1:Cardiometabolic;35398;270;35128;1,06E-05;-0,264282083;-0,381877629;-0,146686537;0,059996768;-0,285286226;0,002244535;Cardiometabolic
GNB1_mis_VAF20;VNN2:O95498:OID21310:v1:Oncology;35344;12;35332;1,06E-05;1,235390495;0,68568706;1,78509393;0,280456437;1,289297005;0,018821578;Oncology
IDH2_mis;LILRA5:A6NI73:OID20209:v1:Cardiometabolic;35459;6;35453;1,08E-05;1,650786364;0,915564056;2,386008672;0,375107445;2,141692976;-0,01106192;Cardiometabolic
SF3B1_mis_VAF10;TNFRSF8:P28908:OID21049:v1:Neurology;35866;12;35854;1,08E-05;1,238621659;0,68690727;1,790336048;0,281482557;1,517678318;0,003655346;Neurology
CH_VE_mis;NID1:P14543:OID20362:v1:Cardiometabolic;35522;1742;33780;1,09E-05;-0,105899906;-0,153082097;-0,058717716;0,024072164;-0,029148929;-0,00204525;Cardiometabolic
TET2_VE_mis_VAF10;APP:P05067:OID21070:v1:Neurology;35585;199;35386;1,09E-05;-0,308808491;-0,44639535;-0,171221632;0,070196267;-0,278450382;0,006274683;Neurology
CH_VE_VAF20;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;160;35368;1,09E-05;-0,3352295;-0,484602263;-0,185856738;0,076209384;-0,212572293;0,003742866;Cardiometabolic
CH_VE_mis_VAF20;CD244:Q9BZW8:OID20628:v1:Inflammation;35880;280;35600;1,14E-05;0,258616952;0,143158998;0,374074905;0,058906204;0,222841733;0,011815491;Inflammation
CH_VE_mis_VAF20;ICAM2:P13598:OID20248:v1:Cardiometabolic;35953;278;35675;1,14E-05;0,263349238;0,145751578;0,380946898;0,059997878;0,213955834;-0,000729147;Cardiometabolic
CH_VE_mis_VAF10;APP:P05067:OID21070:v1:Neurology;35585;771;34814;1,15E-05;-0,158674098;-0,229547101;-0,087801095;0,036159124;-0,159649058;0,008215467;Neurology
ASXL1_VE_VAF10;PAPPA:Q13219:OID20421:v1:Inflammation;34873;67;34806;1,16E-05;0,500322559;0,276675607;0,723969511;0,114103704;0,683123039;0,017774579;Inflammation
SF3B1_mis_VAF05;CCL26:Q9Y258:OID20546:v1:Inflammation;35445;20;35425;1,17E-05;-0,983035715;-1,422511408;-0,543560023;0,224218716;-0,691759813;-0,008947555;Inflammation
CH_VE;CLEC4C:Q8WTT0:OID20547:v1:Inflammation;35445;1021;34424;1,17E-05;0,137624008;0,076097519;0,199150497;0,031390565;0,092421216;-0,000477197;Inflammation
CH_VE_VAF20;IL1R2:P27930:OID20757:v1:Inflammation;35395;163;35232;1,18E-05;0,329077234;0,181860082;0,476294387;0,075109591;0,293596781;0,004837436;Inflammation
CH_VE_mis_VAF05;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;1457;34071;1,20E-05;-0,113688363;-0,164575554;-0,062801173;0,02596244;0,038749464;0,003742866;Cardiometabolic
SRSF2_mis;KLK1:P06870:OID21499:v1:Oncology;35199;22;35177;1,20E-05;-0,921715799;-1,334337887;-0,509093711;0,210518066;-0,956949985;0,002722493;Oncology
JAK2_mis_VAF10;GRAP2:O75791:OID20192:v1:Cardiometabolic;35528;14;35514;1,20E-05;1,15882114;0,639971399;1,677670882;0,264715055;0,568556651;-0,000238045;Cardiometabolic
GNB1_mis_VAF20;TCL1A:P56279:OID20987:v1:Neurology;35265;12;35253;1,21E-05;-1,206285404;-1,746478019;-0,666092789;0,275604032;-0,979767698;-0,039450527;Neurology
CH_VE_mis_VAF10;OSCAR:Q8IYS5:OID20776:v1:Inflammation;35523;766;34757;1,21E-05;0,155555176;0,085889405;0,225220947;0,035543196;0,237645525;0,008168306;Inflammation
SF3B1_mis_VAF05;ITGA6:P23229:OID20528:v1:Inflammation;35445;20;35425;1,24E-05;-0,993882765;-1,439469824;-0,548295705;0,227336711;-0,912122136;0,004318642;Inflammation
GNB1_mis_VAF20;OSM:P13725:OID20574:v1:Inflammation;35315;12;35303;1,24E-05;1,198232401;0,660911528;1,735553274;0,274138896;1,323201034;0,016203985;Inflammation
CH_VE_mis_VAF10;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;768;34760;1,25E-05;0,146681199;0,080886468;0,21247593;0,033568208;0,293049004;0,017878162;Cardiometabolic
TET2_VE_VAF05;KIR2DL3:P43628:OID21196:v1:Oncology;34690;247;34443;1,26E-05;-0,2731195;-0,39568979;-0,150549211;0,062534818;-0,193173229;0,021088727;Oncology
CH_mis_VAF20;PLAUR:Q03405:OID20764:v1:Inflammation;35196;127;35069;1,26E-05;0,351991922;0,19402155;0,509962294;0,080595824;0,473524095;0,017379606;Inflammation
JAK2_mis_VAF10;SELP:P16109:OID20379:v1:Cardiometabolic;35661;14;35647;1,27E-05;1,147224548;0,632200092;1,662249004;0,262763443;1,145157197;0,006448181;Cardiometabolic
CH_VE_mis_VAF05;KIR2DL3:P43628:OID21196:v1:Oncology;34690;1425;33265;1,28E-05;-0,116119148;-0,168264773;-0,063973523;0,026604466;-0,012872058;0,021917779;Oncology
TET2_VE_VAF20;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;56;35472;1,28E-05;0,533426323;0,293862301;0,772990345;0,122224602;0,623021322;0,021949548;Cardiometabolic
TET2_VE_mis;RETN:Q9HD89:OID20327:v1:Cardiometabolic;35441;397;35044;1,33E-05;-0,209313268;-0,303514947;-0,11511159;0,048061314;-0,148196799;0,02592635;Cardiometabolic
JAK2_mis_VAF10;LACTB2:Q53H82:OID20150:v1:Cardiometabolic;35528;14;35514;1,36E-05;1,145387026;0,629490196;1,661283855;0,263208492;0,797099428;-4,76E-05;Cardiometabolic
CH_mis_VAF20;IL10RB:Q08334:OID20696:v1:Inflammation;35657;127;35530;1,36E-05;0,35714044;0,196270087;0,518010792;0,082075418;0,447813843;0,024357404;Inflammation
JAK2_mis;NECTIN2:Q92692:OID20222:v1:Cardiometabolic;35459;16;35443;1,36E-05;1,018549092;0,559642429;1,477455756;0,234132322;1,131078827;0,022363225;Cardiometabolic
JAK2_mis_VAF05;NECTIN2:Q92692:OID20222:v1:Cardiometabolic;35459;16;35443;1,36E-05;1,018549092;0,559642429;1,477455756;0,234132322;1,131078827;0,022363225;Cardiometabolic
TET2_VE_mis_VAF10;CCL4:P13236:OID20695:v1:Inflammation;35527;202;35325;1,39E-05;-0,297579709;-0,431802923;-0,163356496;0,068480145;-0,178283707;0,003738316;Inflammation
CH_VE_VAF10;LAG3:P18627:OID21315:v1:Oncology;35344;462;34882;1,42E-05;0,192930882;0,10583846;0,280023304;0,044434196;0,394306741;-0,000407058;Oncology
JAK2_mis;SNX9:Q9Y5X1:OID20135:v1:Cardiometabolic;35528;16;35512;1,43E-05;1,058801254;0,58054698;1,537055527;0,244003411;0,837142787;-0,001666319;Cardiometabolic
JAK2_mis_VAF05;SNX9:Q9Y5X1:OID20135:v1:Cardiometabolic;35528;16;35512;1,43E-05;1,058801254;0,58054698;1,537055527;0,244003411;0,837142787;-0,001666319;Cardiometabolic
TET2_VE_VAF05;CLC:Q05315:OID20126:v1:Cardiometabolic;35528;248;35280;1,43E-05;-0,267117785;-0,387777411;-0,146458158;0,061560057;-0,099601176;0,003742866;Cardiometabolic
TET2_VE_VAF10;ITGAM:P11215:OID21071:v1:Neurology;35585;147;35438;1,44E-05;0,342574959;0,187788934;0,497360984;0,078971213;0,315931188;-0,027657217;Neurology
TET2_VE_mis_VAF20;CA1:P00915:OID20409:v1:Cardiometabolic;34671;66;34605;1,46E-05;-0,51144407;-0,74266648;-0,28022166;0,117968645;-0,4761645;-0,008925573;Cardiometabolic
TET2_VE_VAF10;SIGLEC6:O43699:OID21394:v1:Oncology;35820;148;35672;1,47E-05;0,349874457;0,191640107;0,508108807;0,080730553;0,261328083;0,000236242;Oncology
JAK2_mis;FKBP4:Q02790:OID20960:v1:Neurology;35323;14;35309;1,48E-05;1,136110434;0,622109548;1,650111321;0,262241136;1,252282447;-0,000407237;Neurology
JAK2_mis_VAF05;FKBP4:Q02790:OID20960:v1:Neurology;35323;14;35309;1,48E-05;1,136110434;0,622109548;1,650111321;0,262241136;1,252282447;-0,000407237;Neurology
TET2_VE;RETN:Q9HD89:OID20327:v1:Cardiometabolic;35441;268;35173;1,53E-05;-0,252634456;-0,367121938;-0,138146974;0,058411049;-0,184403384;0,025543942;Cardiometabolic
SF3B1_mis_VAF10;ADAM8:P78325:OID21039:v1:Neurology;35795;12;35783;1,53E-05;1,191853687;0,651633009;1,732074364;0,275618491;1,464114423;0,004369825;Neurology
TET2_VE_mis_VAF10;SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic;35528;197;35331;1,55E-05;0,282523257;0,154419674;0,410626839;0,065357933;0,476824955;0,021140006;Cardiometabolic
IDH2_mis;IL6:P05231:OID20563:v1:Inflammation;35445;6;35439;1,55E-05;1,582712337;0,864975819;2,300448854;0,366186261;1,561142887;0,004628823;Inflammation
JAK2_mis_VAF10;EPO:P01588:OID20522:v1:Inflammation;35445;12;35433;1,60E-05;-1,212374879;-1,763063775;-0,661685983;0,280959242;-1,184360763;-0,02259718;Inflammation
TET2_VE_mis_VAF10;FCER2:P06734:OID21133:v1:Neurology;35585;199;35386;1,65E-05;-0,290774706;-0,423042689;-0,158506724;0,067482597;-0,201954771;-0,002140012;Neurology
